월(Monthly)	시도명	시군구	승용	승용	승용	승용	승합	승합	승합	승합	화물	화물	화물	화물	특수	특수	특수	특수	총계	총계	총계	총계
2025-07	서울	양천구	130	126,512	4,830	131,472	63	2,837	737	3,637	145	10,637	2,936	13,718	8	272	436	716	346	140,258	8,939	149,543
2025-07	서울	영등포구	126	118,049	2,745	120,920	61	3,361	196	3,618	170	12,580	4,393	17,143	18	461	640	1,119	375	134,451	7,974	142,800
2025-07	서울	용산구	261	63,038	1,121	64,420	122	1,652	75	1,849	150	4,869	1,056	6,075	13	153	32	198	546	69,712	2,284	72,542
2025-07	서울	은평구	100	113,803	4,158	118,061	45	2,733	752	3,530	136	9,600	2,024	11,760	17	203	180	400	298	126,339	7,114	133,751
2025-07	서울	종로구	1,709	39,067	244	41,020	1,480	1,308	251	3,039	333	3,538	1,590	5,461	102	98	103	303	3,624	44,011	2,188	49,823
2025-07	서울	중구	288	39,377	1,424	41,089	811	1,681	264	2,756	178	4,535	1,279	5,992	24	214	99	337	1,301	45,807	3,066	50,174
2025-07	서울	중랑구	80	91,320	5,935	97,335	32	2,748	588	3,368	123	11,209	2,763	14,095	14	243	318	575	249	105,520	9,604	115,373
2025-07	서울	계	4,855	2,657,829	110,340	2,773,024	3,700	64,208	14,617	82,525	3,931	237,224	59,302	300,457	435	6,084	5,142	11,661	12,921	2,965,345	189,401	3,167,667
2025-07	부산	강서구	126	70,856	1,938	72,920	86	1,540	336	1,962	132	16,136	2,820	19,088	10	430	650	1,090	354	88,962	5,744	95,060
2025-07	부산	금정구	100	64,495	2,424	67,019	66	1,908	939	2,913	103	9,270	3,081	12,454	13	205	632	850	282	75,878	7,076	83,236
2025-07	부산	기장군	82	75,707	866	76,655	49	1,905	541	2,495	122	10,697	1,215	12,034	13	266	211	490	266	88,575	2,833	91,674
2025-07	부산	남구	112	81,469	2,797	84,378	59	1,957	484	2,500	58	8,478	4,349	12,885	4	319	1,462	1,785	233	92,223	9,092	101,548
2025-07	부산	동구	81	44,896	920	45,897	47	793	172	1,012	61	3,496	2,333	5,890	5	93	1,041	1,139	194	49,278	4,466	53,938
2025-07	부산	동래구	72	88,500	1,695	90,267	27	1,812	357	2,196	64	9,811	1,565	11,440	1	218	274	493	164	100,341	3,891	104,396
2025-07	부산	부산진구	130	123,753	31,157	155,040	63	2,537	572	3,172	171	12,913	2,498	15,582	10	209	558	777	374	139,412	34,785	174,571
2025-07	부산	북구	125	86,737	1,505	88,367	52	1,996	313	2,361	105	11,524	1,607	13,236	11	210	246	467	293	100,467	3,671	104,431
2025-07	부산	사상구	102	66,182	2,241	68,525	57	1,970	210	2,237	100	13,938	2,356	16,394	8	236	326	570	267	82,326	5,133	87,726
2025-07	부산	사하구	114	92,413	3,495	96,022	53	2,508	342	2,903	102	12,607	2,006	14,715	9	226	287	522	278	107,754	6,130	114,162
2025-07	부산	서구	61	26,442	363	26,866	32	822	18	872	40	3,600	869	4,509	0	65	87	152	133	30,929	1,337	32,399
2025-07	부산	수영구	51	56,648	68,656	125,355	29	1,354	756	2,139	81	5,271	1,275	6,627	11	151	367	529	172	63,424	71,054	134,650
2025-07	부산	연제구	375	114,822	24,568	139,765	499	1,619	731	2,849	182	8,795	2,341	11,318	27	207	716	950	1,083	125,443	28,356	154,882
2025-07	부산	영도구	87	26,306	1,225	27,618	51	902	323	1,276	84	3,972	384	4,440	9	54	56	119	231	31,234	1,988	33,453
2025-07	부산	중구	154	35,780	120	36,054	62	466	4	532	77	1,813	5,272	7,162	14	106	1,677	1,797	307	38,165	7,073	45,545
2025-07	부산	해운대구	138	143,060	2,058	145,256	60	2,723	231	3,014	124	12,311	2,231	14,666	9	337	486	832	331	158,431	5,006	163,768
2025-07	부산	계	1,910	1,198,066	146,028	1,346,004	1,292	26,812	6,329	34,433	1,606	144,632	36,202	182,440	154	3,332	9,076	12,562	4,962	1,372,842	197,635	1,575,439
2025-07	대구	군위군	49	10,058	66	10,173	36	363	21	420	51	5,252	142	5,445	3	64	20	87	139	15,737	249	16,125
2025-07	대구	남구	112	47,887	890	48,889	239	1,190	101	1,530	79	6,147	508	6,734	3	133	58	194	433	55,357	1,557	57,347
2025-07	대구	달서구	192	238,545	15,529	254,266	113	4,394	753	5,260	178	28,643	5,390	34,211	14	634	606	1,254	497	272,216	22,278	294,991
2025-07	대구	달성군	120	117,908	1,521	119,549	118	2,738	502	3,358	288	19,464	2,897	22,649	65	423	295	783	591	140,533	5,215	146,339
2025-07	대구	동구	114	142,331	4,281	146,726	92	3,097	735	3,924	161	19,049	3,931	23,141	11	464	518	993	378	164,941	9,465	174,784
2025-07	대구	북구	164	170,150	2,569	172,883	128	3,497	644	4,269	225	27,752	4,473	32,450	27	593	444	1,064	544	201,992	8,130	210,666
2025-07	대구	서구	95	59,176	3,051	62,322	41	1,567	216	1,824	121	10,618	1,536	12,275	9	166	110	285	266	71,527	4,913	76,706
2025-07	대구	수성구	190	196,214	2,773	199,177	193	2,858	611	3,662	210	15,289	1,386	16,885	12	495	173	680	605	214,856	4,943	220,404
2025-07	대구	중구	89	52,820	1,193	54,102	72	996	318	1,386	145	4,307	493	4,945	17	96	34	147	323	58,219	2,038	60,580
2025-07	대구	계	1,125	1,035,089	31,873	1,068,087	1,032	20,700	3,901	25,633	1,458	136,521	20,756	158,735	161	3,068	2,258	5,487	3,776	1,195,378	58,788	1,257,942
2025-07	인천	강화군	145	28,040	3,796	31,981	53	1,077	279	1,409	156	10,726	768	11,650	11	246	86	343	365	40,089	4,929	45,383
2025-07	인천	계양구	108	94,973	125,345	220,426	61	2,932	1,756	4,749	108	26,012	2,872	28,992	20	450	344	814	297	124,367	130,317	254,981
2025-07	인천	남동구	369	223,066	17,046	240,481	467	4,632	792	5,891	171	27,959	3,615	31,745	25	588	487	1,100	1,032	256,245	21,940	279,217
2025-07	인천	동구	39	19,757	916	20,712	36	805	72	913	34	3,322	1,333	4,689	2	104	315	421	111	23,988	2,636	26,735
2025-07	인천	미추홀구	190	145,519	13,379	159,088	101	3,863	74	4,038	142	16,797	5,233	22,172	18	449	855	1,322	451	166,628	19,541	186,620
2025-07	인천	부평구	149	201,154	32,458	233,761	81	4,141	1,035	5,257	101	19,798	3,114	23,013	8	479	305	792	339	225,572	36,912	262,823
2025-07	인천	서구	223	273,128	5,241	278,592	112	5,952	1,357	7,421	194	33,723	6,465	40,382	29	957	738	1,724	558	313,760	13,801	328,119
2025-07	인천	연수구	160	212,785	5,587	218,532	88	2,984	714	3,786	139	12,286	3,641	16,066	13	434	541	988	400	228,489	10,483	239,372
2025-07	인천	옹진군	74	8,779	21,028	29,881	53	509	442	1,004	125	4,029	57	4,211	3	55	13	71	255	13,372	21,540	35,167
2025-07	인천	중구	301	74,705	927	75,933	172	1,756	776	2,704	187	8,457	8,498	17,142	18	381	1,721	2,120	678	85,299	11,922	97,899
2025-07	인천	계	1,758	1,281,906	225,723	1,509,387	1,224	28,651	7,297	37,172	1,357	163,109	35,596	200,062	147	4,143	5,405	9,695	4,486	1,477,809	274,021	1,756,316
2025-07	광주	광산구	234	175,765	3,997	179,996	146	3,991	382	4,519	201	26,283	8,065	34,549	30	767	949	1,746	611	206,806	13,393	220,810
2025-07	광주	남구	88	84,094	865	85,047	48	1,760	459	2,267	89	8,540	1,026	9,655	11	244	189	444	236	94,638	2,539	97,413
2025-07	광주	동구	93	42,064	419	42,576	54	883	115	1,052	102	4,024	397	4,523	10	112	70	192	259	47,083	1,001	48,343
2025-07	광주	북구	205	174,303	4,551	179,059	204	3,670	993	4,867	225	22,613	3,528	26,366	18	601	528	1,147	652	201,187	9,600	211,439
2025-07	광주	서구	311	126,850	3,694	130,855	151	2,820	339	3,310	232	14,842	1,685	16,759	21	426	218	665	715	144,938	5,936	151,589
2025-07	광주	계	931	603,076	13,526	617,533	603	13,124	2,288	16,015	849	76,302	14,701	91,852	90	2,150	1,954	4,194	2,473	694,652	32,469	729,594
2025-07	대전	대덕구	86	72,381	1,879	74,346	45	1,911	547	2,503	110	13,373	3,891	17,374	9	365	434	808	250	88,030	6,751	95,031
2025-07	대전	동구	90	79,190	2,993	82,273	55	2,211	458	2,724	99	12,938	1,644	14,681	12	342	224	578	256	94,681	5,319	100,256
2025-07	대전	서구	311	188,080	25,083	213,474	317	3,796	459	4,572	200	18,364	2,418	20,982	28	527	482	1,037	856	210,767	28,442	240,065
2025-07	대전	유성구	123	177,635	2,531	180,289	96	2,940	368	3,404	456	15,250	2,445	18,151	26	641	298	965	701	196,466	5,642	202,809
2025-07	대전	중구	98	85,068	2,333	87,499	47	2,320	413	2,780	78	11,905	2,139	14,122	7	299	272	578	230	99,592	5,157	104,979
2025-07	대전	계	708	602,354	34,819	637,881	560	13,178	2,245	15,983	943	71,830	12,537	85,310	82	2,174	1,710	3,966	2,293	689,536	51,311	743,140
2025-07	울산	남구	305	140,150	2,804	143,259	223	2,535	572	3,330	242	15,942	3,282	19,466	20	377	615	1,012	790	159,004	7,273	167,067
2025-07	울산	동구	71	58,800	758	59,629	44	1,132	146	1,322	75	4,686	334	5,095	7	157	60	224	197	64,775	1,298	66,270
2025-07	울산	북구	88	111,285	1,510	112,883	39	1,933	308	2,280	91	11,168	1,627	12,886	9	278	333	620	227	124,664	3,778	128,669
2025-07	울산	울주군	157	110,546	1,126	111,829	97	2,480	681	3,258	166	20,946	4,258	25,370	14	453	1,012	1,479	434	134,425	7,077	141,936
2025-07	울산	중구	150	91,341	1,137	92,628	110	1,762	293	2,165	90	9,810	954	10,854	6	244	283	533	356	103,157	2,667	106,180
2025-07	울산	계	771	512,122	7,335	520,228	513	9,842	2,000	12,355	664	62,552	10,455	73,671	56	1,509	2,303	3,868	2,004	586,025	22,093	610,122
2025-07	세종	세종특별자치시	367	180,165	1,691	182,223	242	3,015	644	3,901	264	14,870	1,957	17,091	83	643	180	906	956	198,693	4,472	204,121
2025-07	세종	계	367	180,165	1,691	182,223	242	3,015	644	3,901	264	14,870	1,957	17,091	83	643	180	906	956	198,693	4,472	204,121
2025-07	경기	가평군	151	25,772	156	26,079	83	1,044	154	1,281	155	6,600	215	6,970	24	138	46	208	413	33,554	571	34,538
2025-07	경기	고양시 덕양구	325	174,207	1,745	176,277	153	3,785	443	4,381	199	18,718	2,723	21,640	21	472	265	758	698	197,182	5,176	203,056
2025-07	경기	고양시 일산동구	109	115,520	3,575	119,204	80	2,257	612	2,949	78	13,019	2,101	15,198	12	373	157	542	279	131,169	6,445	137,893
2025-07	경기	고양시 일산서구	72	104,816	2,242	107,130	22	1,941	572	2,535	38	9,012	1,517	10,567	1	229	133	363	133	115,998	4,464	120,595
2025-07	경기	과천시	480	29,649	315	30,444	103	499	43	645	129	1,947	472	2,548	15	84	11	110	727	32,179	841	33,747
2025-07	경기	광명시	141	93,114	1,648	94,903	65	2,170	407	2,642	110	10,087	2,369	12,566	11	236	200	447	327	105,607	4,624	110,558
2025-07	경기	광주시	213	174,030	1,000	175,243	90	4,480	2,279	6,849	132	30,235	5,592	35,959	17	739	349	1,105	452	209,484	9,220	219,156
2025-07	경기	구리시	96	61,740	1,154	62,990	76	1,418	283	1,777	100	8,237	1,418	9,755	14	195	144	353	286	71,590	2,999	74,875
2025-07	경기	군포시	133	86,728	825	87,686	72	1,895	174	2,141	91	8,791	3,793	12,675	10	183	245	438	306	97,597	5,037	102,940
2025-07	경기	김포시	259	203,881	2,917	207,057	112	4,682	1,681	6,475	206	30,668	4,603	35,477	9	724	690	1,423	586	239,955	9,891	250,432
2025-07	경기	남양주시	383	270,803	2,197	273,383	197	6,622	1,035	7,854	220	42,305	6,689	49,214	28	1,134	500	1,662	828	320,864	10,421	332,113
2025-07	경기	동두천시	100	32,095	673	32,868	45	1,160	73	1,278	82	5,302	694	6,078	11	117	54	182	238	38,674	1,494	40,406
2025-07	경기	부천시	5	102	1	108	0	38	10	48	0	128	7	135	0	0	1	1	5	268	19	292
2025-07	경기	부천시 소사구	49	73,245	1,642	74,936	19	1,971	115	2,105	35	8,114	1,280	9,429	1	170	173	344	104	83,500	3,210	86,814
2025-07	경기	부천시 오정구	38	51,805	973	52,816	31	1,768	446	2,245	32	9,597	1,762	11,391	4	196	170	370	105	63,366	3,351	66,822
2025-07	경기	부천시 원미구	196	128,355	2,783	131,334	147	3,278	563	3,988	157	15,395	3,320	18,872	24	369	201	594	524	147,397	6,867	154,788
2025-07	경기	성남시 분당구	203	179,122	3,867	183,192	57	2,272	1,402	3,731	106	7,437	1,988	9,531	9	358	168	535	375	189,189	7,425	196,989
2025-07	경기	성남시 수정구	163	72,166	1,549	73,878	57	1,942	200	2,199	79	7,346	1,555	8,980	3	168	161	332	302	81,622	3,465	85,389
2025-07	경기	성남시 중원구	217	63,336	2,063	65,616	58	1,955	308	2,321	98	8,621	1,592	10,311	20	184	166	370	393	74,096	4,129	78,618
2025-07	경기	수원시 권선구	111	186,270	5,177	191,558	168	4,488	1,515	6,171	161	19,736	3,152	23,049	21	632	545	1,198	461	211,126	10,389	221,976
2025-07	경기	수원시 영통구	275	145,231	1,847	147,353	107	1,929	141	2,177	66	6,642	1,423	8,131	2	269	127	398	450	154,071	3,538	158,059
2025-07	경기	수원시 장안구	285	98,526	1,036	99,847	147	2,570	484	3,201	102	8,151	2,127	10,380	17	252	123	392	551	109,499	3,770	113,820
2025-07	경기	수원시 팔달구	145	72,207	1,380	73,732	68	2,244	74	2,386	90	6,321	2,014	8,425	16	171	104	291	319	80,943	3,572	84,834
2025-07	경기	시흥시	174	227,911	1,808	229,893	108	5,944	457	6,509	151	37,103	6,435	43,689	23	755	510	1,288	456	271,713	9,210	281,379
2025-07	경기	안산시 단원구	216	137,833	5,761	143,810	148	4,623	1,146	5,917	223	22,820	4,047	27,090	12	452	325	789	599	165,728	11,279	177,606
2025-07	경기	안산시 상록구	84	122,077	2,127	124,288	40	3,633	638	4,311	34	18,072	2,695	20,801	3	471	370	844	161	144,253	5,830	150,244
2025-07	경기	안성시	178	97,112	753	98,043	95	2,903	566	3,564	132	19,675	3,307	23,114	16	950	300	1,266	421	120,640	4,926	125,987
2025-07	경기	안양시 동안구	159	120,085	2,243	122,487	113	1,973	574	2,660	131	9,740	3,785	13,656	10	346	170	526	413	132,144	6,772	139,329
2025-07	경기	안양시 만안구	91	76,875	1,356	78,322	29	2,032	923	2,984	42	9,069	1,584	10,695	0	203	128	331	162	88,179	3,991	92,332
2025-07	경기	양주시	188	120,838	698	121,724	88	3,548	523	4,159	170	20,085	3,053	23,308	14	541	260	815	460	145,012	4,534	150,006
2025-07	경기	양평군	247	54,362	425	55,034	96	1,585	518	2,199	263	12,103	900	13,266	11	293	83	387	617	68,343	1,926	70,886
2025-07	경기	여주시	190	54,084	364	54,638	88	1,923	643	2,654	202	14,272	6,490	20,964	9	343	338	690	489	70,622	7,835	78,946
2025-07	경기	연천군	92	17,913	391	18,396	71	685	258	1,014	157	6,364	4,084	10,605	7	137	487	631	327	25,099	5,220	30,646
2025-07	경기	오산시	99	111,427	1,286	112,812	63	2,638	562	3,263	65	10,673	2,703	13,441	10	341	184	535	237	125,079	4,735	130,051
2025-07	경기	용인시 기흥구	49	187,366	3,415	190,830	42	3,173	785	4,000	48	11,391	3,746	15,185	12	522	385	919	151	202,452	8,331	210,934
2025-07	경기	용인시 수지구	27	144,843	870	145,740	16	1,702	81	1,799	22	4,726	1,415	6,163	0	239	46	285	65	151,510	2,412	153,987
2025-07	경기	용인시 처인구	406	129,129	1,707	131,242	167	3,722	1,534	5,423	238	21,851	4,815	26,904	19	743	436	1,198	830	155,445	8,492	164,767
2025-07	경기	의왕시	121	60,429	415	60,965	95	1,163	193	1,451	85	5,654	2,033	7,772	8	157	297	462	309	67,403	2,938	70,650
2025-07	경기	의정부시	294	153,543	1,988	155,825	256	4,204	433	4,893	197	17,700	3,113	21,010	29	544	272	845	776	175,991	5,806	182,573
2025-07	경기	이천시	216	104,276	887	105,379	87	3,141	863	4,091	142	18,983	4,275	23,400	15	495	564	1,074	460	126,895	6,589	133,944
2025-07	경기	파주시	286	219,936	2,749	222,971	95	5,195	2,643	7,933	172	31,299	6,444	37,915	22	721	306	1,049	575	257,151	12,142	269,868
2025-07	경기	평택시	382	294,904	3,734	299,020	159	7,208	2,151	9,518	263	36,103	7,721	44,087	23	1,033	981	2,037	827	339,248	14,587	354,662
2025-07	경기	포천시	196	67,112	5,767	73,075	77	2,570	773	3,420	160	20,814	2,394	23,368	17	365	367	749	450	90,861	9,301	100,612
2025-07	경기	하남시	205	123,224	1,005	124,434	87	2,325	356	2,768	151	15,209	2,360	17,720	12	341	158	511	455	141,099	3,879	145,433
2025-07	경기	화성시	405	467,586	2,680	470,671	228	9,601	2,823	12,652	290	64,886	8,464	73,640	74	1,724	714	2,512	997	543,797	14,681	559,475
2025-07	경기	계	8,454	5,535,585	83,194	5,627,233	4,205	131,899	32,457	168,561	5,804	711,001	138,269	855,074	636	19,109	12,414	32,159	19,099	6,397,594	266,334	6,683,027
2025-07	충북	괴산군	81	15,542	135	15,758	56	727	57	840	81	7,950	256	8,287	13	109	30	152	231	24,328	478	25,037
2025-07	충북	단양군	69	11,166	103	11,338	52	441	81	574	119	4,836	377	5,332	4	89	226	319	244	16,532	787	17,563
2025-07	충북	보은군	71	12,429	116	12,616	58	572	88	718	114	6,430	453	6,997	17	73	45	135	260	19,504	702	20,466
2025-07	충북	영동군	103	17,585	113	17,801	60	650	93	803	116	8,215	174	8,505	14	93	38	145	293	26,543	418	27,254
2025-07	충북	옥천군	78	20,643	174	20,895	58	784	88	930	86	8,011	691	8,788	11	149	99	259	233	29,587	1,052	30,872
2025-07	충북	음성군	85	49,677	313	50,075	68	2,031	207	2,306	113	13,814	1,504	15,431	15	256	142	413	281	65,778	2,166	68,225
2025-07	충북	제천시	109	55,392	714	56,215	82	1,587	179	1,848	158	13,600	1,674	15,432	13	356	877	1,246	362	70,935	3,444	74,741
2025-07	충북	증평군	35	17,576	155	17,766	26	519	37	582	32	3,212	586	3,830	8	75	47	130	101	21,382	825	22,308
2025-07	충북	진천군	74	45,829	286	46,189	65	1,395	88	1,548	86	9,269	1,115	10,470	7	257	81	345	232	56,750	1,570	58,552
2025-07	충북	청원군	1	8	0	9	0	2	0	2	0	8	0	8	0	0	0	0	1	18	0	19
2025-07	충북	청주시 상당구	209	88,293	1,100	89,602	112	2,019	370	2,501	182	11,977	1,161	13,320	18	387	267	672	521	102,676	2,898	106,095
2025-07	충북	청주시 서원구	61	81,368	1,473	82,902	129	1,910	831	2,870	63	10,518	1,848	12,429	5	323	228	556	258	94,119	4,380	98,757
2025-07	충북	청주시 청원구	181	92,474	2,718	95,373	117	2,266	547	2,930	131	14,450	2,110	16,691	7	419	198	624	436	109,609	5,573	115,618
2025-07	충북	청주시 흥덕구	132	135,203	3,969	139,304	104	2,855	734	3,693	136	15,861	2,523	18,520	14	578	373	965	386	154,497	7,599	162,482
2025-07	충북	충주시	205	96,402	1,478	98,085	144	2,732	415	3,291	260	19,854	1,814	21,928	32	474	290	796	641	119,462	3,997	124,100
2025-07	충북	계	1,494	739,587	12,847	753,928	1,131	20,490	3,815	25,436	1,677	148,005	16,286	165,968	178	3,638	2,941	6,757	4,480	911,720	35,889	952,089
2025-07	충남	계룡시	78	23,487	64	23,629	38	543	104	685	55	2,260	438	2,753	9	91	35	135	180	26,381	641	27,202
2025-07	충남	공주시	237	42,726	1,237	44,200	123	1,474	383	1,980	254	12,756	690	13,700	26	220	128	374	640	57,176	2,438	60,254
2025-07	충남	금산군	75	20,901	2,458	23,434	40	949	199	1,188	93	8,616	579	9,288	10	131	74	215	218	30,597	3,310	34,125
2025-07	충남	논산시	151	46,078	880	47,109	88	1,954	332	2,374	143	15,283	1,086	16,512	30	230	96	356	412	63,545	2,394	66,351
2025-07	충남	당진시	148	87,837	828	88,813	78	2,295	352	2,725	185	19,430	2,346	21,961	16	505	814	1,335	427	110,067	4,340	114,834
2025-07	충남	보령시	138	40,437	553	41,128	73	1,353	175	1,601	186	12,792	518	13,496	35	201	125	361	432	54,783	1,371	56,586
2025-07	충남	부여군	99	23,255	181	23,535	70	1,056	318	1,444	163	11,247	397	11,807	13	105	56	174	345	35,663	952	36,960
2025-07	충남	서산시	186	82,263	946	83,395	86	2,342	488	2,916	163	19,112	1,877	21,152	24	428	440	892	459	104,145	3,751	108,355
2025-07	충남	서천군	78	19,748	145	19,971	39	672	109	820	105	7,686	435	8,226	18	93	87	198	240	28,199	776	29,215
2025-07	충남	아산시	207	177,536	1,973	179,716	132	4,411	513	5,056	181	24,289	3,752	28,222	50	748	373	1,171	570	206,984	6,611	214,165
2025-07	충남	예산군	160	35,710	276	36,146	114	1,340	314	1,768	180	11,487	733	12,400	14	218	130	362	468	48,755	1,453	50,676
2025-07	충남	천안시 동남구	103	120,946	1,828	122,877	62	3,569	688	4,319	128	19,467	2,914	22,509	10	620	390	1,020	303	144,602	5,820	150,725
2025-07	충남	천안시 서북구	167	185,502	1,672	187,341	154	4,177	865	5,196	228	20,954	2,656	23,838	23	615	309	947	572	211,248	5,502	217,322
2025-07	충남	청양군	82	11,550	66	11,698	58	423	61	542	126	6,034	519	6,679	17	72	64	153	283	18,079	710	19,072
2025-07	충남	태안군	87	24,923	189	25,199	47	956	113	1,116	196	10,810	250	11,256	19	145	49	213	349	36,834	601	37,784
2025-07	충남	홍성군	165	44,388	388	44,941	93	1,349	207	1,649	140	12,343	774	13,257	22	238	131	391	420	58,318	1,500	60,238
2025-07	충남	계	2,161	987,287	13,684	1,003,132	1,295	28,863	5,221	35,379	2,526	214,566	19,964	237,056	336	4,660	3,301	8,297	6,318	1,235,376	42,170	1,283,864
2025-07	전남	강진군	89	12,586	158	12,833	65	455	75	595	101	6,576	759	7,436	12	89	42	143	267	19,706	1,034	21,007
2025-07	전남	고흥군	108	21,462	166	21,736	78	979	92	1,149	140	12,746	261	13,147	12	137	38	187	338	35,324	557	36,219
2025-07	전남	곡성군	70	10,911	110	11,091	40	398	57	495	72	5,058	392	5,522	6	58	67	131	188	16,425	626	17,239
2025-07	전남	광양시	95	79,696	650	80,441	71	2,070	286	2,427	90	14,654	3,449	18,193	15	558	1,678	2,251	271	96,978	6,063	103,312
2025-07	전남	구례군	58	9,396	162	9,616	42	373	53	468	76	3,944	156	4,176	4	69	16	89	180	13,782	387	14,349
2025-07	전남	나주시	145	54,001	742	54,888	120	1,814	371	2,305	216	15,592	1,718	17,526	21	381	274	676	502	71,788	3,105	75,395
2025-07	전남	담양군	80	20,518	350	20,948	50	733	279	1,062	76	7,905	1,049	9,030	12	136	151	299	218	29,292	1,829	31,339
2025-07	전남	목포시	127	82,416	2,265	84,808	119	2,473	415	3,007	152	12,734	2,276	15,162	10	347	339	696	408	97,970	5,295	103,673
2025-07	전남	무안군	267	42,784	160	43,211	203	1,409	73	1,685	164	11,999	883	13,046	17	211	127	355	651	56,403	1,243	58,297
2025-07	전남	보성군	78	14,163	156	14,397	51	712	69	832	104	7,977	358	8,439	15	102	55	172	248	22,954	638	23,840
2025-07	전남	순천시	182	125,744	2,013	127,939	133	2,826	597	3,556	197	22,588	2,175	24,960	21	485	936	1,442	533	151,643	5,721	157,897
2025-07	전남	신안군	120	14,708	111,323	126,151	67	653	2,321	3,041	208	9,522	381	10,111	5	147	35	187	400	25,030	114,060	139,490
2025-07	전남	여수시	204	113,939	2,316	116,459	152	2,972	731	3,855	202	21,456	3,578	25,236	17	438	836	1,291	575	138,805	7,461	146,841
2025-07	전남	영광군	80	22,381	215	22,676	44	763	98	905	113	8,279	515	8,907	7	123	55	185	244	31,546	883	32,673
2025-07	전남	영암군	94	24,573	84	24,751	67	1,153	80	1,300	120	11,288	801	12,209	9	192	142	343	290	37,206	1,107	38,603
2025-07	전남	완도군	132	16,380	162	16,674	59	661	101	821	106	9,695	204	10,005	11	98	31	140	308	26,834	498	27,640
2025-07	전남	장성군	82	20,046	172	20,300	48	709	83	840	91	8,309	896	9,296	4	138	90	232	225	29,202	1,241	30,668
2025-07	전남	장흥군	90	13,653	87	13,830	75	530	46	651	107	7,080	277	7,464	8	67	31	106	280	21,330	441	22,051
2025-07	전남	진도군	79	11,399	94	11,572	48	501	60	609	100	6,367	147	6,614	9	67	24	100	236	18,334	325	18,895
2025-07	전남	함평군	72	12,436	5,591	18,099	50	482	111	643	88	6,626	198	6,912	12	91	26	129	222	19,635	5,926	25,783
2025-07	전남	해남군	113	24,906	93,552	118,571	81	1,571	879	2,531	145	15,588	232	15,965	12	130	41	183	351	42,195	94,704	137,250
2025-07	전남	화순군	99	26,103	467	26,669	51	885	838	1,774	107	8,048	557	8,712	9	155	144	308	266	35,191	2,006	37,463
