월(Monthly)	시도명	시군구	승용	승용	승용	승용	승합	승합	승합	승합	화물	화물	화물	화물	특수	특수	특수	특수	총계	총계	총계	총계
월(Monthly)	시도명	시군구	관용	자가용	영업용	계	관용	자가용	영업용	계	관용	자가용	영업용	계	관용	자가용	영업용	계	관용	자가용	영업용	계
2025-07	서울	강남구	159	218,484	13,640	232,283	62	3,773	538	4,373	194	13,425	2,203	15,822	18	380	155	553	433	236,062	16,536	253,031
2025-07	서울	강동구	111	144,894	5,022	150,027	42	3,159	617	3,818	153	11,905	2,609	14,667	8	262	212	482	314	160,220	8,460	168,994
2025-07	서울	강북구	118	59,783	2,108	62,009	67	1,963	716	2,746	129	6,586	1,260	7,975	16	146	113	275	330	68,478	4,197	73,005
2025-07	서울	강서구	138	166,600	8,576	175,314	45	3,920	1,373	5,338	159	15,694	4,322	20,175	18	459	263	740	360	186,673	14,534	201,567
2025-07	서울	관악구	89	98,715	3,039	101,843	45	2,742	354	3,141	145	8,740	2,214	11,099	12	203	164	379	291	110,400	5,771	116,462
2025-07	서울	광진구	87	80,391	2,978	83,456	44	1,926	332	2,302	165	8,691	1,514	10,370	10	126	95	231	306	91,134	4,919	96,359
2025-07	서울	구로구	112	114,529	8,807	123,448	60	3,589	562	4,211	126	13,472	2,576	16,174	7	323	164	494	305	131,913	12,109	144,327
2025-07	서울	금천구	58	71,433	2,685	74,176	34	2,367	435	2,836	78	10,383	2,200	12,661	12	199	96	307	182	84,382	5,416	89,980
2025-07	서울	노원구	81	128,376	5,567	134,024	51	3,001	749	3,801	170	9,487	2,124	11,781	11	279	253	543	313	141,143	8,693	150,149
2025-07	서울	도봉구	92	75,996	4,520	80,608	50	2,086	563	2,699	123	7,803	2,041	9,967	12	199	154	365	277	86,084	7,278	93,639
2025-07	서울	동대문구	107	86,561	2,743	89,411	59	2,371	128	2,558	136	9,583	2,245	11,964	11	205	101	317	313	98,720	5,217	104,250
2025-07	서울	동작구	117	94,303	1,255	95,675	44	2,012	127	2,183	141	6,256	1,138	7,535	16	140	171	327	318	102,711	2,691	105,720
2025-07	서울	마포구	99	101,265	4,217	105,581	55	2,336	622	3,013	173	9,063	2,627	11,863	22	259	463	744	349	112,923	7,929	121,201
2025-07	서울	서대문구	212	77,197	3,413	80,822	99	1,874	400	2,373	136	5,642	1,743	7,521	6	151	109	266	453	84,864	5,665	90,982
2025-07	서울	서초구	224	153,911	3,087	157,222	129	2,775	644	3,548	182	10,352	4,124	14,658	16	277	203	496	551	167,315	8,058	175,924
2025-07	서울	성동구	135	82,147	8,586	90,868	50	1,668	931	2,649	180	8,051	1,906	10,137	17	205	126	348	382	92,071	11,549	104,002
2025-07	서울	성북구	93	106,307	2,006	108,406	45	2,566	1,095	3,706	146	8,237	1,679	10,062	8	212	98	318	292	117,322	4,878	122,492
2025-07	서울	송파구	129	205,771	7,634	213,534	105	3,760	1,568	5,433	160	16,886	4,736	21,782	19	415	394	828	413	226,832	14,332	241,577
